Year,Month,jobs
2005,Jul,2728.0
2006,Jul,2740.0
2007,Jul,2727.0
2008,Jul,2767.0
2009,Jul,2826.0
2010,Jul,3051.0
2011,Jul,2862.0
2012,Jul,2815.0
2013,Jul,2761.0
2014,Jul,2730.0
2015,Jul,2757.0
2016,Jul,2801.0
2017,Jul,2807.0
1939,Aug,962.0
1940,Aug,1051.0
1941,Aug,1472.0
1942,Aug,2583.0
1943,Aug,3025.0
1944,Aug,3095.0
1945,Aug,2992.0
1946,Aug,2319.0
1947,Aug,1896.0
1948,Aug,1981.0
1949,Aug,2011.0
1950,Aug,2019.0
1951,Aug,2473.0
1952,Aug,2547.0
1953,Aug,2388.0
1954,Aug,2277.0
1955,Aug,2306.0
1956,Aug,2322.0
1957,Aug,2323.0
1958,Aug,2301.0
1959,Aug,2329.0
1960,Aug,2349.0
1961,Aug,2406.0
1962,Aug,2470.0
1963,Aug,2469.0
1964,Aug,2452.0
1965,Aug,2499.0
1966,Aug,2721.0
1967,Aug,2872.0
1968,Aug,2883.0
1969,Aug,2899.0
1970,Aug,2824.0
1971,Aug,2849.0
1972,Aug,2806.0
1973,Aug,2782.0
1974,Aug,2874.0
1975,Aug,2886.0
1976,Aug,2855.0
1977,Aug,2860.0
1978,Aug,2902.0
1979,Aug,2925.0
1980,Aug,2980.0
1981,Aug,2921.0
1982,Aug,2885.0
1983,Aug,2913.0
1984,Aug,2950.0
1985,Aug,3037.0
1986,Aug,3035.0
1987,Aug,3094.0
1988,Aug,3119.0
1989,Aug,3133.0
1990,Aug,3174.0
1991,Aug,3121.0
1992,Aug,3109.0
1993,Aug,3064.0
1994,Aug,3002.0
1995,Aug,2943.0
1996,Aug,2873.0
1997,Aug,2777.0
1998,Aug,2776.0
1999,Aug,2773.0
2000,Aug,2868.0
2001,Aug,2780.0
2002,Aug,2762.0
2003,Aug,2751.0
2004,Aug,2729.0
2005,Aug,2731.0
2006,Aug,2733.0
2007,Aug,2738.0
2008,Aug,2766.0
2009,Aug,2825.0
2010,Aug,2945.0
2011,Aug,2850.0
2012,Aug,2820.0
2013,Aug,2754.0
2014,Aug,2736.0
2015,Aug,2759.0
2016,Aug,2804.0
2017,Aug,2803.0
1939,Sep,970.0
1940,Sep,1072.0
1941,Sep,1529.0
1942,Sep,2630.0
1943,Sep,3016.0
1944,Sep,3107.0
1945,Sep,2786.0
1946,Sep,2267.0
1947,Sep,1901.0
1948,Sep,1998.0
1949,Sep,1991.0
1950,Sep,2067.0
1951,Sep,2478.0
1952,Sep,2543.0
1953,Sep,2374.0
1954,Sep,2277.0
1955,Sep,2306.0
1956,Sep,2329.0
1957,Sep,2311.0
1958,Sep,2306.0
1959,Sep,2333.0
1960,Sep,2351.0
1961,Sep,2413.0
1962,Sep,2470.0
1963,Sep,2475.0
1964,Sep,2454.0
1965,Sep,2511.0
1966,Sep,2742.0
1967,Sep,2869.0
1968,Sep,2868.0
1969,Sep,2896.0
1970,Sep,2829.0
1971,Sep,2848.0
1972,Sep,2807.0
1973,Sep,2788.0
1974,Sep,2876.0
1975,Sep,2891.0
1976,Sep,2855.0
1977,Sep,2865.0
1978,Sep,2908.0
